"id","country","geolocation","level","adm1","location","disastertype","continent"
253,"Madagascar","-19.359829, 48.777996",3,"toamasina","vatomandry","storm","Africa"
254,"Madagascar","-22.909322, 44.530492",3,"toliary","sakaraha","storm","Africa"
255,"Madagascar","-21.423190, 47.096560",3,"fianarantsoa","ambalavao","storm","Africa"
256,"Madagascar","-18.716670, 47.266670",3,"antananarivo","ambohidratimo","storm","Africa"
257,"Madagascar","-21.069259, 47.167980",3,"fianarantsoa","ambohimahasoa","storm","Africa"
258,"Madagascar","-18.908484, 47.537513",3,"antananarivo","ankazobe","storm","Africa"
259,"Madagascar","-18.933540, 47.680531",3,"antananarivo","antananarivo avaradrano","storm","Africa"
260,"Madagascar","-15.709748, 46.316553",3,"mahajanga","besalampy district","storm","Africa"
261,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","faraganga","storm","Africa"
262,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","ikongo","storm","Africa"
263,"Madagascar","-23.350000, 43.666670",3,"toliary","mahabo","storm","Africa"
264,"Madagascar","-15.709748, 46.316553",3,"mahajanga","mampikony district","storm","Africa"
265,"Madagascar","-19.050000, 46.866670",3,"fianarantsoa","mananjary","storm","Africa"
266,"Madagascar","-19.163005, 45.369048",3,"toliary","miandrivazo","storm","Africa"
267,"Madagascar","-23.350000, 43.666670",3,"toliary","morondova","storm","Africa"
268,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","nosy varika","storm","Africa"
269,"Madagascar","-18.908484, 47.537513",3,"antananarivo","soavindriana","storm","Africa"
270,"Madagascar","-18.908484, 47.537513",3,"antananarivo","tsiroanimandidy district","storm","Africa"
271,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","vangaindrano","storm","Africa"
272,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","vohipeno","storm","Africa"
273,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","vondrozo","storm","Africa"
274,"Mozambique","-19.549170, 34.624440",3,"sofala","mafambisse","flood","Africa"
275,"Mozambique","-19.971390, 33.398330",3,"manica","dombe","flood","Africa"
276,"Mozambique","-17.488890, 35.239720",3,"tete","inhangoma","flood","Africa"
277,"Mozambique","-17.420560, 35.065830",3,"tete","nhamayabue","flood","Africa"
278,"Myanmar (Burma)","21.101365, 95.645213",3,"mandalay","mahlaing","flood","Asia"
279,"Myanmar (Burma)","16.312670, 95.851540",3,"ayeyarwady","dedaye","storm","Asia"
280,"Myanmar (Burma)","16.445020, 95.723730",3,"ayeyarwady","kyaiklat","storm","Asia"
281,"Myanmar (Burma)","21.449359, 94.481282",3,"magway","pauk","storm","Asia"
282,"Myanmar (Burma)","20.138390, 93.089820",3,"rakhine","pauktaw","storm","Asia"
283,"Myanmar (Burma)","21.449359, 94.481282",3,"magway","pauk","flood","Asia"
284,"Myanmar (Burma)","21.628876, 95.244511",3,"magway","yesagyo","flood","Asia"
285,"Myanmar (Burma)","22.917724, 96.497010",3,"mandalay","mogok","earthquake","Asia"
286,"Myanmar (Burma)","22.548003, 95.996790",3,"mandalay","singu","earthquake","Asia"
287,"Myanmar (Burma)","22.884671, 95.974277",3,"mandalay","thabeikkyin","earthquake","Asia"
288,"Nepal","26.610690, 87.473230",3,"east","morang","flood","Asia"
289,"Nepal","26.640960, 87.140990",3,"east","sunsari","flood","Asia"
290,"Nepal","26.983330, 87.333330",3,"east","dhankuta","earthquake","Asia"
291,"Nepal","26.907917, 87.925751",3,"east","ilam","earthquake","Asia"
292,"Nepal","26.610690, 87.473230",3,"east","morang","earthquake","Asia"
293,"Nepal","27.148950, 87.855190",3,"east","panchthar","earthquake","Asia"
294,"Nepal","27.132540, 87.524400",3,"east","terathum","earthquake","Asia"
295,"Nepal","27.617960, 84.453180",3,"central","chitawan","flood","Asia"
296,"Nepal","27.437060, 85.053580",3,"central","markwanpur","flood","Asia"
297,"Nepal","27.148950, 87.855190",3,"east","pantchthar","flood","Asia"
298,"Nepal","26.988980, 85.283080",3,"central","rautahat","flood","Asia"
299,"Nepal","26.968670, 85.563900",3,"central","sharlahi","flood","Asia"
300,"Nepal","27.185130, 86.070260",3,"central","sindhuli","flood","Asia"
